"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","PPP","TOT","NATUSD","A","2000",1,
"USA","PPP","TOT","NATUSD","A","2001",1,
"USA","PPP","TOT","NATUSD","A","2002",1,
"USA","PPP","TOT","NATUSD","A","2003",1,
"USA","PPP","TOT","NATUSD","A","2004",1,
"USA","PPP","TOT","NATUSD","A","2005",1,
"USA","PPP","TOT","NATUSD","A","2006",1,
"USA","PPP","TOT","NATUSD","A","2007",1,
"USA","PPP","TOT","NATUSD","A","2008",1,
"USA","PPP","TOT","NATUSD","A","2009",1,
"USA","PPP","TOT","NATUSD","A","2010",1,
"USA","PPP","TOT","NATUSD","A","2011",1,
"USA","PPP","TOT","NATUSD","A","2012",1,
"USA","PPP","TOT","NATUSD","A","2013",1,
"USA","PPP","TOT","NATUSD","A","2014",1,
"USA","PPP","TOT","NATUSD","A","2015",1,
"USA","PPP","TOT","NATUSD","A","2016",1,
"USA","PPP","TOT","NATUSD","A","2017",1,
"USA","PPP","TOT","NATUSD","A","2018",1,
"USA","PPP","TOT","NATUSD","A","2019",1,
"USA","PPP","TOT","NATUSD","A","2020",1,
"EU27_2020","PPP","TOT","NATUSD","A","2000",0.8303,
"EU27_2020","PPP","TOT","NATUSD","A","2001",0.827453,
"EU27_2020","PPP","TOT","NATUSD","A","2002",0.819625,
"EU27_2020","PPP","TOT","NATUSD","A","2003",0.821809,
"EU27_2020","PPP","TOT","NATUSD","A","2004",0.817664,
"EU27_2020","PPP","TOT","NATUSD","A","2005",0.818883,
"EU27_2020","PPP","TOT","NATUSD","A","2006",0.795897,
"EU27_2020","PPP","TOT","NATUSD","A","2007",0.790493,
"EU27_2020","PPP","TOT","NATUSD","A","2008",0.775897,
"EU27_2020","PPP","TOT","NATUSD","A","2009",0.754471,
"EU27_2020","PPP","TOT","NATUSD","A","2010",0.756273,
"EU27_2020","PPP","TOT","NATUSD","A","2011",0.745419,
"EU27_2020","PPP","TOT","NATUSD","A","2012",0.73873,
"EU27_2020","PPP","TOT","NATUSD","A","2013",0.721411,
"EU27_2020","PPP","TOT","NATUSD","A","2014",0.716501,
"EU27_2020","PPP","TOT","NATUSD","A","2015",0.718871,
"EU27_2020","PPP","TOT","NATUSD","A","2016",0.694376,
"EU27_2020","PPP","TOT","NATUSD","A","2017",0.6867,
"EU27_2020","PPP","TOT","NATUSD","A","2018",0.677999,
"EU27_2020","PPP","TOT","NATUSD","A","2019",0.67163,
"EU27_2020","PPP","TOT","NATUSD","A","2020",0.668092,
